fromDate,toDate,fromTime,toTime,fromAirport,toAirport,flightNumber,points,lowestPrice,extraCharges
5/20/2015,5/20/2015,7:55 AM,10:30 AM,MCO,EWR,Flight 28,"10,000",$168,+$5.60 taxes/fees
5/20/2015,5/20/2015,9:22 AM,12:00 PM,MCO,EWR,Flight 728,"10,000",$168,+$5.60 taxes/fees
5/20/2015,5/20/2015,1:30 PM,4:18 PM,MCO,EWR,Flight 928,"26,800",$323,+$5.60 taxes/fees
5/20/2015,5/20/2015,5:50 PM,8:36 PM,MCO,EWR,Flight 828,"34,100",$373,+$5.60 taxes/fees
5/20/2015,5/20/2015,7:36 PM,10:15 PM,MCO,EWR,Flight 328,"34,100",$373,+$5.60 taxes/fees
5/20/2015,5/20/2015,6:30 AM,9:23 AM,MCO,BOS,Flight 52,0,0,0
5/20/2015,5/20/2015,11:27 AM,12:54 PM,BOS,EWR,Flight 2479,"16,400",$244,+$5.60 taxes/fees
5/20/2015,5/20/2015,9:45 AM,12:39 PM,MCO,BOS,Flight 152,0,0,0
5/20/2015,5/20/2015,3:28 PM,4:59 PM,BOS,EWR,Flight 2579,"19,400",$284,+$5.60 taxes/fees
5/20/2015,5/20/2015,12:35 PM,3:32 PM,MCO,BOS,Flight 452,0,0,0
5/20/2015,5/20/2015,7:07 PM,8:39 PM,BOS,EWR,Flight 2679,"32,000",$390,+$5.60 taxes/fees
5/20/2015,5/20/2015,3:10 PM,6:10 PM,MCO,BOS,Flight 952,0,0,0
5/20/2015,5/20/2015,7:07 PM,8:39 PM,BOS,EWR,Flight 2679,"32,000",$390,+$5.60 taxes/fees
5/20/2015,5/20/2015,3:10 PM,6:10 PM,MCO,BOS,Flight 952,0,0,0
5/20/2015,5/20/2015,8:35 PM,9:57 PM,BOS,EWR,Flight 2779,"28,900",$355,+$5.60 taxes/fees
5/20/2015,5/20/2015,4:50 PM,7:53 PM,MCO,BOS,Flight 1152,0,0,0
5/20/2015,5/20/2015,8:35 PM,9:57 PM,BOS,EWR,Flight 2779,"28,900",$316,+$5.60 taxes/fees
6/3/2015,6/3/2015,6:00 AM,8:34 AM,EWR,MCO,Flight 27,"7,400",$355,+$5.60 taxes/fees
6/3/2015,6/3/2015,11:15 AM,1:48 PM,EWR,MCO,Flight 127,"7,400",$134,+$5.60 taxes/fees
6/3/2015,6/3/2015,12:43 PM,3:19 PM,EWR,MCO,Flight 927,"7,400",$134,+$5.60 taxes/fees
6/3/2015,6/3/2015,5:00 PM,7:44 PM,EWR,MCO,Flight 327,"7,400",$134,+$5.60 taxes/fees
6/3/2015,6/3/2015,7:20 PM,10:08 PM,EWR,MCO,Flight 227,"7,400",$134,+$5.60 taxes/fees
6/3/2015,6/3/2015,6:25 AM,7:32 AM,EWR,BOS,Flight 2180,0,0,0
6/3/2015,6/3/2015,8:52 AM,11:56 AM,BOS,MCO,Flight 251,"9,900",$134,+$5.60 taxes/fees
6/3/2015,6/3/2015,6:25 AM,7:32 AM,EWR,BOS,Flight 2180,0,0,0
6/3/2015,6/3/2015,11:31 AM,2:34 PM,BOS,MCO,Flight 451,"11,300",$175,+$5.60 taxes/fees
6/3/2015,6/3/2015,8:30 AM,9:42 AM,EWR,BOS,Flight 2280,0,0,0
6/3/2015,6/3/2015,11:31 AM,2:34 PM,BOS,MCO,Flight 451,"11,300",$175,+$5.60 taxes/fees
6/3/2015,6/3/2015,11:15 AM,12:19 PM,EWR,BOS,Flight 2380,0,0,0
6/3/2015,6/3/2015,2:55 PM,6:02 PM,BOS,MCO,Flight 951,"11,400",$247,+$5.60 taxes/fees
6/3/2015,6/3/2015,1:30 PM,2:39 PM,EWR,BOS,Flight 2480,0,0,0
6/3/2015,6/3/2015,5:25 PM,8:33 PM,BOS,MCO,Flight 1351,"16,200",$175,+$5.60 taxes/fees
6/3/2015,6/3/2015,1:30 PM,2:39 PM,EWR,BOS,Flight 2480,0,0,0
6/3/2015,6/3/2015,7:30 PM,10:32 PM,BOS,MCO,Flight 1451,"16,200",$195,+$5.60 taxes/fees
